0,Info,5/01/2023 17:13,Service 'ymaze_inLT' : Execution start,,
138.018,Info,Arena,7,Enter_Zone,3
138.057,Info,Arena,3,Exit_Zone,2
138.057,Info,Arena,3,Enter_Zone,4
138.371,Info,Arena,3,Exit_Zone,4
138.371,Info,Arena,3,Enter_Zone,1
139.001,Info,Arena,6,Exit_Zone,3
139.001,Info,Arena,6,Enter_Zone,4
139.31,Info,Arena,6,Exit_Zone,4
139.31,Info,Arena,6,Enter_Zone,1
139.344,Info,Arena,6,Exit_Zone,1
139.344,Info,Arena,6,Enter_Zone,4
139.442,Info,Arena,6,Exit_Zone,4
139.442,Info,Arena,6,Enter_Zone,1
139.931,Info,Arena,7,Exit_Zone,3
139.931,Info,Arena,7,Enter_Zone,4
140.082,Info,Arena,7,Exit_Zone,4
140.082,Info,Arena,7,Enter_Zone,2
140.85,Info,Arena,5,Exit_Zone,3
140.85,Info,Arena,5,Enter_Zone,4
140.881,Info,Arena,3,Exit_Zone,1
140.881,Info,Arena,3,Enter_Zone,4
141.145,Info,Arena,3,Exit_Zone,4
141.145,Info,Arena,3,Enter_Zone,2
141.685,Info,Arena,5,Exit_Zone,4
141.685,Info,Arena,5,Enter_Zone,1
142.513,Info,Arena,7,Exit_Zone,2
142.513,Info,Arena,7,Enter_Zone,4
142.624,Info,Arena,6,Exit_Zone,1
142.624,Info,Arena,6,Enter_Zone,4
142.722,Info,Arena,7,Exit_Zone,4
142.722,Info,Arena,7,Enter_Zone,1
143.12,Info,Arena,6,Exit_Zone,4
143.12,Info,Arena,6,Enter_Zone,2
144.651,Info,Arena,5,Exit_Zone,1
144.651,Info,Arena,5,Enter_Zone,4
144.811,Info,Arena,3,Exit_Zone,2
144.811,Info,Arena,3,Enter_Zone,4
144.979,Info,Arena,3,Exit_Zone,4
144.979,Info,Arena,3,Enter_Zone,1
145.113,Info,Arena,5,Exit_Zone,4
145.113,Info,Arena,5,Enter_Zone,2
145.411,Info,Arena,7,Exit_Zone,1
145.411,Info,Arena,7,Enter_Zone,4
145.545,Info,Arena,6,Exit_Zone,2
145.545,Info,Arena,6,Enter_Zone,4
145.623,Info,Arena,6,Exit_Zone,4
145.623,Info,Arena,6,Enter_Zone,3
145.718,Info,Arena,7,Exit_Zone,4
