"","fish_id","bin","LLLL","LLLR","LLRL","LLRR","LRLL","LRLR","LRRL","LRRR","RLLL","RLLR","RLRL","RLRR","RRLL","RRLR","RRRL","RRRR","L","R","total_turns","reps","alts","rel_reps","rel_alts","rel_R","rel_L"
"138","3","6",4,2,2,2,2,0,2,0,3,2,0,0,2,0,0,0,17,7,24,4,0,16.6666666666667,0,29.1666666666667,70.8333333333333
"139","30","1",8,9,10,6,10,10,7,6,9,7,11,7,6,7,6,5,68,59,127,13,21,10.2362204724409,16.5354330708661,46.4566929133858,53.5433070866142
"140","30","2",10,8,7,6,4,12,10,3,8,5,9,7,9,5,4,6,61,55,116,16,21,13.7931034482759,18.1034482758621,47.4137931034483,52.5862068965517
"141","30","3",3,7,8,2,5,10,5,3,7,3,7,5,5,3,3,3,44,38,82,6,17,7.31707317073171,20.7317073170732,46.3414634146341,53.6585365853659
"142","30","4",2,3,4,4,1,11,4,5,3,5,9,5,6,3,5,14,36,51,87,16,20,18.3908045977011,22.9885057471264,58.6206896551724,41.3793103448276
"143","30","5",1,1,3,4,4,7,2,4,1,6,8,2,3,2,3,6,26,34,60,7,15,11.6666666666667,25,56.6666666666667,43.3333333333333
"144","30","6",0,0,2,3,1,5,5,5,0,5,4,7,3,7,5,11,22,44,66,11,9,16.6666666666667,13.6363636363636,66.6666666666667,33.3333333333333
"145","31","1",10,12,9,19,11,17,13,24,12,16,18,18,17,20,24,27,116,154,270,37,35,13.7037037037037,12.962962962963,57.037037037037,42.962962962963
"146","31","2",0,4,8,12,8,13,11,23,4,16,13,21,12,21,22,41,79,153,232,41,26,17.6724137931034,11.2068965517241,65.948275862069,34.051724137931
"147","31","3",0,4,4,9,5,11,10,16,4,10,12,17,9,18,17,38,61,126,187,38,23,20.3208556149733,12.2994652406417,67.379679144385,32.620320855615
"148","31","4",0,2,3,4,1,7,7,11,2,5,5,15,6,13,11,40,36,99,135,40,12,29.6296296296296,8.88888888888889,73.3333333333333,26.6666666666667
"149","31","5",0,1,1,4,1,6,4,10,1,4,6,9,4,9,9,24,27,69,96,24,12,25,12.5,71.875,28.125
"150","31","6",0,2,0,8,1,0,4,9,2,6,1,5,7,7,10,37,25,77,102,37,1,36.2745098039216,0.980392156862745,75.4901960784314,24.5098039215686
"151","32","1",1,4,6,8,8,9,3,13,4,10,11,8,6,10,13,57,52,122,174,58,20,33.3333333333333,11.4942528735632,70.1149425287356,29.8850574712644
"152","32","2",0,0,0,3,0,2,2,12,0,3,2,11,3,11,12,79,19,124,143,79,4,55.2447552447552,2.7972027972028,86.7132867132867,13.2867132867133
"153","32","3",6,1,2,3,0,4,2,12,1,4,2,12,5,10,13,38,31,87,118,44,6,37.2881355932203,5.08474576271186,73.728813559322,26.271186440678
"154","32","4",1,1,0,2,0,3,4,7,1,1,3,10,2,10,7,38,19,74,93,39,6,41.9354838709677,6.45161290322581,79.5698924731183,20.4301075268817
"155","32","5",0,0,1,2,2,1,1,7,0,3,2,6,1,8,7,38,15,67,82,38,3,46.3414634146341,3.65853658536585,81.7073170731707,18.2926829268293
"156","32","6",0,0,0,2,0,2,0,7,0,2,2,5,2,5,7,29,11,55,66,29,4,43.9393939393939,6.06060606060606,83.3333333333333,16.6666666666667
"157","33","1",4,4,6,10,6,11,10,11,5,12,11,10,11,10,11,11,65,81,146,15,22,10.2739726027397,15.0684931506849,55.4794520547945,44.5205479452055
"158","33","2",0,0,2,1,1,6,6,5,0,3,5,10,1,9,4,3,21,38,59,3,11,5.08474576271186,18.6440677966102,64.406779661017,35.5932203389831
